,category,category_id
0,"Кофе, какао",1
1,Чай,2
2,"Вода, напитки, соки",3
3,Консервация,4
4,"Крупы, макароны, мука",5
5,Орехи и сухофрукты,6
6,"Сыр, колбаса, рыба",7
7,"Снеки, жевательная резинка",8
8,Кондитерские изделия,9
9,Подарочные корзины,10
10,Молочная продукция,11
11,Бутилированная вода  19 л,12
12,Бакалея,13
13,"Соусы, приправы, специи",14
14,Продукты быстрого приготовления,15
15,"Фрукты, овощи, ягоды, грибы",16
16,"Сахар, соусы, приправы",17
17,Хлебобулочные изделия,18
18,Конфеты,19
19,Корма для животных,20
20,Кофе,21
21,Молочные продукты,22
22,Вода,23
23,Детское питание,24
