,date_id,date,day,month,year
0,1,2022-03-06,6,3,2022
1,2,2022-03-07,7,3,2022
2,3,2022-03-08,8,3,2022
3,4,2022-03-09,9,3,2022
4,5,2022-03-10,10,3,2022
5,6,2022-03-11,11,3,2022
6,7,2022-03-12,12,3,2022
7,8,2022-03-13,13,3,2022
8,9,2022-03-14,14,3,2022
9,10,2022-03-15,15,3,2022
10,11,2022-03-16,16,3,2022
11,12,2022-03-17,17,3,2022
12,13,2022-03-18,18,3,2022
13,14,2022-03-19,19,3,2022
14,15,2022-03-20,20,3,2022
15,16,2022-03-21,21,3,2022
16,17,2022-03-22,22,3,2022
17,18,2022-03-23,23,3,2022
18,19,2022-03-24,24,3,2022
19,20,2022-03-25,25,3,2022
20,21,2022-03-26,26,3,2022
21,22,2022-03-27,27,3,2022
22,23,2022-03-28,28,3,2022
23,24,2022-03-29,29,3,2022
24,25,2022-03-30,30,3,2022
25,26,2022-03-31,31,3,2022
26,27,2022-04-01,1,4,2022
27,28,2022-04-02,2,4,2022
28,29,2022-04-03,3,4,2022
29,30,2022-04-04,4,4,2022
30,31,2022-04-05,5,4,2022
