,article,title,description,url
0,496218,Вода питьевая Новотерская газированная 0.5 л (6 штук в упаковке),"Вид воды:
питьевая
Категория воды:
первая
Особенности состава:
нет
Объем (л):
0.5
Степень газации:
среднегазированная
Ароматизированная:
Нет
Количество бутылок в упаковке:
6
шт.
Групповая упаковка:
да
Тип упаковки:
пластиковая бутылка
Водоисточник:
артезианская
Страна происхождения:
Россия",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/voda-pitevaya-novoterskaya-gazirovannaya-0-5-l-6-shtuk-v-upakovke-/p/496218/?from=block-301-1
1,1217580,Вода минеральная San Benedetto газированная 0.33 л (24 штуки в упаковке),"Вид воды:
минеральная
Категория воды:
столовая
Особенности состава:
магниево-кальциевая
Объем (л):
0.33
Степень газации:
газированная
Ароматизированная:
Нет
Количество бутылок в упаковке:
24
шт.
Групповая упаковка:
да
Тип упаковки:
пластиковая бутылка
Водоисточник:
минеральная природная
Страна происхождения:
Новая Зеландия",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/voda-mineralnaya-san-benedetto-gazirovannaya-0-33-l-24-shtuki-v-upakovke-/p/1217580/?from=block-301-2
2,960568,Вода минеральная Baikal Reserve газированная 0.53 л (20 штук в упаковке),"Вид воды:
минеральная
Категория воды:
лечебно-столовая
Особенности состава:
магниево-кальциевая
Объем (л):
0.53
Степень газации:
слабогазированная
Ароматизированная:
Нет
Количество бутылок в упаковке:
20
шт.
Групповая упаковка:
да
Тип упаковки:
стеклянная бутылка
Водоисточник:
минеральная природная
Страна происхождения:
Россия",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/voda-mineralnaya-baikal-reserve-gazirovannaya-0-53-l-20-shtuk-v-upakovke-/p/960568/?from=block-301-3
3,900348,Вода минеральная Donat Mg газированная 0.5 л (12 штук в упаковке),"Вид воды:
минеральная
Категория воды:
лечебно-столовая
Особенности состава:
магниево-кальциевая
Объем (л):
0.5
Степень газации:
газированная
Ароматизированная:
Нет
Количество бутылок в упаковке:
12
шт.
Групповая упаковка:
да
Тип упаковки:
пластиковая бутылка
Водоисточник:
минеральная природная
Страна происхождения:
Словения",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/voda-mineralnaya-donat-mg-gazirovannaya-0-5-l-12-shtuk-v-upakovke-/p/900348/?from=block-301-4
4,900347,Вода минеральная Donat Mg газированная 1 л (6 штук в упаковке),"Вид воды:
минеральная
Категория воды:
лечебно-столовая
Особенности состава:
магниево-кальциевая
Объем (л):
1
Степень газации:
газированная
Ароматизированная:
Нет
Количество бутылок в упаковке:
6
шт.
Групповая упаковка:
да
Тип упаковки:
пластиковая бутылка
Водоисточник:
минеральная природная
Страна происхождения:
Словения",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/voda-mineralnaya-donat-mg-gazirovannaya-1-l-6-shtuk-v-upakovke-/p/900347/?from=block-301-5
5,493895,Вода минеральная Perrier газированная 0.75 л (12 штук в упаковке),"Вид воды:
минеральная
Категория воды:
лечебно-столовая
Особенности состава:
нет
Объем (л):
0.75
Степень газации:
газированная
Ароматизированная:
Нет
Количество бутылок в упаковке:
12
шт.
Групповая упаковка:
да
Тип упаковки:
стеклянная бутылка
Водоисточник:
минеральная природная
Страна происхождения:
Франция",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/voda-mineralnaya-perrier-gazirovannaya-0-75-l-12-shtuk-v-upakovke-/p/493895/?from=block-301-6
6,1100156,Вода минеральная Ессентуки №17 газированная 0.45 л (20 штук в упаковке),"Вид воды:
минеральная
Категория воды:
лечебно-столовая
Особенности состава:
хлоридно-гидрокарбонатного натриевая
Объем (л):
0.45
Степень газации:
газированная
Ароматизированная:
Нет
Количество бутылок в упаковке:
20
шт.
Групповая упаковка:
да
Тип упаковки:
стеклянная бутылка
Водоисточник:
минеральная природная
Страна происхождения:
Россия",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/voda-mineralnaya-essentuki-17-gazirovannaya-0-45-l-20-shtuk-v-upakovke-/p/1100156/?from=block-301-7
7,1063122,Вода минеральная Jevea газированная 0.5 л (12 штук в упаковке),"Вид воды:
минеральная
Категория воды:
столовая
Особенности состава:
сульфатно-гидрокарбонатная натриевая
Объем (л):
0.5
Степень газации:
газированная
Ароматизированная:
Нет
Количество бутылок в упаковке:
12
шт.
Групповая упаковка:
да
Тип упаковки:
пластиковая бутылка
Водоисточник:
артезианская
Страна происхождения:
Италия",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/voda-mineralnaya-jevea-gazirovannaya-0-5-l-12-shtuk-v-upakovke-/p/1063122/?from=block-301-8
8,1337465,Напиток Боржоми Flavored Water газированный лайм-кориандр 0.33 л (12 штук в упаковке),"Вид воды:
питьевая
Категория воды:
лечебно-столовая
Особенности состава:
нет
Объем (л):
0.33
Степень газации:
сильногазированная
Ароматизированная:
Да
Количество бутылок в упаковке:
12
шт.
Групповая упаковка:
да
Тип упаковки:
железная банка
Водоисточник:
родниковая
Страна происхождения:
Грузия",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/napitok-borzhomi-flavored-water-gazirovannyj-lajm-koriandr-0-33-l-12-shtuk-v-upakovke-/p/1337465/?from=block-301-9
9,493884,Вода минеральная Акваника премиум газированная 0.618 л (12 штук в упаковке),"Вид воды:
питьевая
Категория воды:
высшая
Особенности состава:
нет
Объем (л):
0.618
Степень газации:
среднегазированная
Ароматизированная:
Нет
Количество бутылок в упаковке:
12
шт.
Групповая упаковка:
да
Тип упаковки:
пластиковая бутылка
Водоисточник:
минеральная природная
Страна происхождения:
Россия",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/voda-mineralnaya-akvanika-premium-gazirovannaya-0-618-l-12-shtuk-v-upakovke-/p/493884/?from=block-301-10
10,738210,Вода минеральная Новотерская газированная 1.5 л (6 штук в упаковке),"Вид воды:
минеральная
Категория воды:
лечебно-столовая
Особенности состава:
нет
Объем (л):
1.5
Степень газации:
среднегазированная
Ароматизированная:
Нет
Количество бутылок в упаковке:
6
шт.
Групповая упаковка:
да
Тип упаковки:
пластиковая бутылка
Водоисточник:
минеральная природная
Страна происхождения:
Россия",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/voda-mineralnaya-novoterskaya-gazirovannaya-1-5-l-6-shtuk-v-upakovke-/p/738210/?from=block-301-11
11,900870,Вода минеральная Сенежская+Кислород газированная 0.5 л (12 штук в упаковке),"Вид воды:
минеральная
Категория воды:
столовая
Особенности состава:
кислородная
Объем (л):
0.5
Степень газации:
газированная
Ароматизированная:
Нет
Количество бутылок в упаковке:
12
шт.
Групповая упаковка:
да
Тип упаковки:
пластиковая бутылка
Водоисточник:
минеральная природная
Страна происхождения:
Россия",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/voda-mineralnaya-senezhskaya-kislorod-gazirovannaya-0-5-l-12-shtuk-v-upakovke-/p/900870/?from=block-301-12
12,1451067,Вода питьевая Волжанка газированная 0.33 л (24 штуки в упаковке),"Вид воды:
питьевая
Категория воды:
высшая
Особенности состава:
сульфатно-гидрокарбонатная, кальциево-магниевая
Объем (л):
0.33
Степень газации:
газированная
Ароматизированная:
Нет
Количество бутылок в упаковке:
24
шт.
Групповая упаковка:
да
Тип упаковки:
стеклянная бутылка
Водоисточник:
артезианская
Страна происхождения:
Россия",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/voda-pitevaya-volzhanka-gazirovannaya-0-33-l-24-shtuki-v-upakovke-/p/1451067/?from=block-301-13
13,998182,Вода питьевая BonAqua газированная 0.33 л (12 штук в упаковке),"Вид воды:
питьевая
Категория воды:
первая
Особенности состава:
нет
Объем (л):
0.33
Степень газации:
газированная
Ароматизированная:
Нет
Количество бутылок в упаковке:
12
шт.
Групповая упаковка:
да
Тип упаковки:
стеклянная бутылка
Водоисточник:
артезианская
Страна происхождения:
Россия",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/voda-pitevaya-bonaqua-gazirovannaya-0-33-l-12-shtuk-v-upakovke-/p/998182/?from=block-301-14
14,1337467,Напиток Боржоми Flavored Water газированный цитрус-имбирь 0.33 л (12 штук в упаковке),"Вид воды:
питьевая
Категория воды:
лечебно-столовая
Особенности состава:
нет
Объем (л):
0.33
Степень газации:
сильногазированная
Ароматизированная:
Да
Количество бутылок в упаковке:
12
шт.
Групповая упаковка:
да
Тип упаковки:
железная банка
Водоисточник:
родниковая
Страна происхождения:
Грузия",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/napitok-borzhomi-flavored-water-gazirovannyj-tsitrus-imbir-0-33-l-12-shtuk-v-upakovke-/p/1337467/?from=block-301-15
15,1337468,Напиток Боржоми Flavored Water газированный вишня-гранат 0.33 л (12 штук в упаковке),"Вид воды:
питьевая
Категория воды:
лечебно-столовая
Особенности состава:
нет
Объем (л):
0.33
Степень газации:
сильногазированная
Ароматизированная:
Да
Количество бутылок в упаковке:
12
шт.
Групповая упаковка:
да
Тип упаковки:
железная банка
Водоисточник:
родниковая
Страна происхождения:
Грузия",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/napitok-borzhomi-flavored-water-gazirovannyj-vishnya-granat-0-33-l-12-shtuk-v-upakovke-/p/1337468/?from=block-301-16
16,493900,Вода питьевая Сенежская газированная 1.5 л (6 штук в упаковке),"Вид воды:
питьевая
Категория воды:
первая
Особенности состава:
нет
Объем (л):
1.5
Степень газации:
газированная
Ароматизированная:
Нет
Количество бутылок в упаковке:
6
шт.
Групповая упаковка:
да
Тип упаковки:
пластиковая бутылка
Водоисточник:
минеральная природная
Страна происхождения:
Россия",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/voda-pitevaya-senezhskaya-gazirovannaya-1-5-l-6-shtuk-v-upakovke-/p/493900/?from=block-301-17
17,1048945,Вода минеральная Боржоми газированная 1.25 л (6 штук в упаковке),"Вид воды:
природная питьевая
Категория воды:
первая
Особенности состава:
нет
Объем (л):
1.25
Степень газации:
газированная
Ароматизированная:
Нет
Количество бутылок в упаковке:
6
шт.
Групповая упаковка:
да
Тип упаковки:
пластиковая бутылка
Водоисточник:
минеральная природная
Страна происхождения:
Грузия",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/voda-mineralnaya-borzhomi-gazirovannaya-1-25-l-6-shtuk-v-upakovke-/p/1048945/?from=block-301-18
18,383751,Вода минеральная Эльбрус газированная 0.5 л (12 штук в упаковке),"Вид воды:
минеральная
Категория воды:
столовая
Особенности состава:
нет
Объем (л):
0.5
Степень газации:
среднегазированная
Ароматизированная:
Нет
Количество бутылок в упаковке:
12
шт.
Групповая упаковка:
да
Тип упаковки:
пластиковая бутылка
Водоисточник:
минеральная природная
Страна происхождения:
Швейцария",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/voda-mineralnaya-elbrus-gazirovannaya-0-5-l-12-shtuk-v-upakovke-/p/383751/?from=block-301-19
19,1337466,Напиток Боржоми Flavored газированный земляника-артемизия 0.33 л (12 штук в упаковке),"Вид воды:
питьевая
Категория воды:
лечебно-столовая
Особенности состава:
нет
Объем (л):
0.33
Степень газации:
сильногазированная
Ароматизированная:
Да
Количество бутылок в упаковке:
12
шт.
Групповая упаковка:
да
Тип упаковки:
железная банка
Водоисточник:
родниковая
Страна происхождения:
Грузия",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/napitok-borzhomi-flavored-gazirovannyj-zemlyanika-artemiziya-0-33-l-12-shtuk-v-upakovke-/p/1337466/?from=block-301-20
20,868010,Напиток Perrier лимон газированный 0.5 л (24 штуки в упаковке),"Вид воды:
минеральная
Категория воды:
столовая
Особенности состава:
нет
Объем (л):
0.5
Степень газации:
газированная
Ароматизированная:
Да
Количество бутылок в упаковке:
24
шт.
Групповая упаковка:
да
Тип упаковки:
пластиковая бутылка
Водоисточник:
минеральная природная
Страна происхождения:
Франция",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/napitok-perrier-limon-gazirovannyj-0-5-l-24-shtuki-v-upakovke-/p/868010/?from=block-301-21
21,984861,Вода минеральная Нарзан Золотой газированная 1 л (9 штук в упаковке),"Вид воды:
минеральная
Категория воды:
лечебно-столовая
Особенности состава:
нет
Объем (л):
1
Степень газации:
газированная
Ароматизированная:
Нет
Количество бутылок в упаковке:
9
шт.
Групповая упаковка:
да
Тип упаковки:
пластиковая бутылка
Водоисточник:
минеральная природная
Страна происхождения:
Швейцария",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/voda-mineralnaya-narzan-zolotoj-gazirovannaya-1-l-9-shtuk-v-upakovke-/p/984861/?from=block-301-22
22,493391,Вода минеральная Архыз газированная 1.5 л (6 штук в упаковке),"Вид воды:
минеральная
Категория воды:
лечебно-столовая
Особенности состава:
нет
Объем (л):
1.5
Степень газации:
газированная
Ароматизированная:
Нет
Количество бутылок в упаковке:
6
шт.
Групповая упаковка:
да
Тип упаковки:
пластиковая бутылка
Водоисточник:
минеральная природная
Страна происхождения:
Россия",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/voda-mineralnaya-arkhyz-gazirovannaya-1-5-l-6-shtuk-v-upakovke-/p/493391/?from=block-301-23
23,936331,Вода минеральная Калинов Родник газированная 0.5 л (12 штук в упаковке),"Вид воды:
минеральная
Категория воды:
столовая
Особенности состава:
гидрокарбонатная, магниево-кальциевая
Объем (л):
0.5
Степень газации:
газированная
Ароматизированная:
Нет
Количество бутылок в упаковке:
12
шт.
Групповая упаковка:
да
Тип упаковки:
пластиковая бутылка
Водоисточник:
минеральная природная
Страна происхождения:
Россия",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/voda-mineralnaya-kalinov-rodnik-gazirovannaya-0-5-l-12-shtuk-v-upakovke-/p/936331/?from=block-301-24
24,515723,Вода минеральная Нарзан Золотой газированная 0.33 л (24 штуки в упаковке),"Вид воды:
минеральная
Категория воды:
лечебно-столовая
Особенности состава:
нет
Объем (л):
0.33
Степень газации:
природная газация
Ароматизированная:
Нет
Количество бутылок в упаковке:
24
шт.
Групповая упаковка:
да
Тип упаковки:
пластиковая бутылка
Водоисточник:
минеральная природная
Страна происхождения:
Швейцария",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/voda-mineralnaya-narzan-zolotoj-gazirovannaya-0-33-l-24-shtuki-v-upakovke-/p/515723/?from=block-301-25
25,1451035,Вода питьевая Деловой Стандарт газированная 0.5 л (12 штук в упаковке),"Вид воды:
питьевая
Категория воды:
первая
Особенности состава:
сульфатно-гидрокарбонатная кальциево-натриевая
Объем (л):
0.5
Степень газации:
газированная
Ароматизированная:
Нет
Количество бутылок в упаковке:
12
шт.
Групповая упаковка:
да
Тип упаковки:
пластиковая бутылка
Водоисточник:
артезианская
Страна происхождения:
Россия",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/voda-pitevaya-delovoj-standart-gazirovannaya-0-5-l-12-shtuk-v-upakovke-/p/1451035/?from=block-301-26
26,998820,Напиток Perrier газированный с соком персик-вишня 0.25 л (4 штуки в упаковке),"Вид воды:
минеральная
Категория воды:
столовая
Особенности состава:
нет
Объем (л):
0.25
Степень газации:
газированная
Ароматизированная:
Да
Количество бутылок в упаковке:
4
шт.
Групповая упаковка:
да
Тип упаковки:
железная банка
Водоисточник:
минеральная природная
Страна происхождения:
Франция",https://www.komus.ru/katalog/produkty-pitaniya/voda-napitki-soki/voda-gazirovannaya/napitok-perrier-gazirovannyj-s-sokom-persik-vishnya-0-25-l-4-shtuki-v-upakovke-/p/998820/?from=block-301-27
