,article,first_subcategory,first_seen,last_seen
0,496218,19,1,31
1,1217580,19,1,31
2,960568,19,1,31
3,900348,19,1,1
4,900347,19,1,1
5,493895,19,1,31
6,1100156,19,1,31
7,1063122,19,1,31
8,1337465,19,1,31
9,493884,19,1,1
10,738210,19,1,31
11,900870,19,1,31
12,1451067,19,1,31
13,998182,19,1,1
14,1337467,19,1,31
15,1337468,19,1,31
16,493900,19,1,31
17,1048945,19,1,31
18,383751,19,1,31
19,1337466,19,1,31
20,868010,19,1,31
21,984861,19,1,31
22,493391,19,1,31
23,936331,19,1,31
24,515723,19,1,31
25,1451035,19,1,31
26,998820,19,1,31
27,701504,19,1,31
28,1337472,19,1,31
29,1063124,19,1,31
30,424434,48,1,31
31,1404879,48,1,31
32,1404892,48,1,31
33,1435132,48,1,31
34,1435133,48,1,31
35,1435134,48,1,31
36,910632,48,1,31
37,1299312,46,1,31
38,1299306,46,1,31
39,512098,58,1,31
40,561506,58,1,31
41,1452570,58,1,31
42,1162693,58,1,31
43,1007963,58,1,1
44,1452548,58,1,31
45,1452571,58,1,31
46,1453269,58,1,31
47,1453265,58,1,31
48,897812,58,1,31
49,1452574,58,1,31
50,1162694,58,1,1
51,512100,58,1,31
52,488273,58,1,31
53,488277,58,1,31
54,416115,58,1,31
55,512096,58,1,1
56,512099,58,1,31
57,512087,58,1,31
58,512097,58,1,31
59,488276,58,1,31
60,512088,58,1,31
61,1453267,58,1,31
62,1452550,58,1,31
63,1452546,58,1,31
64,1453259,58,1,1
65,1453272,58,1,31
66,1453268,58,1,31
67,1453274,58,1,31
68,1453263,58,1,31
69,1306854,22,1,31
70,440372,22,1,31
71,1217344,22,1,1
72,937015,22,1,31
73,1003821,22,1,31
74,440369,22,1,31
75,1196618,22,1,31
76,1306857,22,1,31
77,1196617,22,1,31
78,1236461,22,1,31
79,1236458,22,1,1
80,1236457,22,1,1
81,634889,22,1,1
82,1204877,22,1,31
83,1193959,22,1,31
84,1236460,22,1,31
85,1425350,22,1,1
86,1425348,22,1,31
87,1218513,22,1,1
88,1003826,22,1,31
89,1478816,22,1,1
90,133589,22,1,31
91,1287034,22,1,31
92,1478817,22,1,31
93,1425347,22,1,31
94,1306853,22,1,31
95,1478818,22,1,31
96,937018,22,1,31
97,926659,22,1,31
98,1425346,22,1,31
99,1448879,37,1,31
100,1430855,37,1,1
101,1448869,37,1,31
102,1430853,37,1,31
103,1430850,37,1,31
104,1177793,37,1,31
105,1448883,37,1,31
106,1448872,37,1,31
107,1448870,37,1,31
108,1448880,37,1,31
109,1196756,37,1,31
110,1448877,37,1,31
111,1193473,37,1,31
112,1448878,37,1,31
113,1448876,37,1,31
114,1448871,37,1,31
115,1192364,33,1,31
116,1192385,33,1,31
117,952915,33,1,31
118,1195267,33,1,31
119,1192366,33,1,31
120,1260147,33,1,31
121,969576,33,1,31
122,1192365,33,1,31
123,1178630,33,1,31
