,subcategory,subcategory_id,category_id,cat__subcat
0,Кофе в зернах,1,1,"Кофе, какао__Кофе в зернах"
1,Кофе растворимый,2,1,"Кофе, какао__Кофе растворимый"
2,Капсулы для кофемашин,3,1,"Кофе, какао__Капсулы для кофемашин"
3,Кофе молотый,4,1,"Кофе, какао__Кофе молотый"
4,Кофе порционный,5,1,"Кофе, какао__Кофе порционный"
5,Цикорий,6,1,"Кофе, какао__Цикорий"
6,Горячий шоколад и какао,7,1,"Кофе, какао__Горячий шоколад и какао"
7,Чай в стиках,8,2,Чай__Чай в стиках
8,Чай черный пакетированный,9,2,Чай__Чай черный пакетированный
9,Чай зеленый пакетированный,10,2,Чай__Чай зеленый пакетированный
10,"Чай травяной, фруктовый пакетированный",11,2,"Чай__Чай травяной, фруктовый пакетированный"
11,Чай ассорти пакетированный,12,2,Чай__Чай ассорти пакетированный
12,"Чай травяной, фруктовый листовой",13,2,"Чай__Чай травяной, фруктовый листовой"
13,Чай черный листовой,14,2,Чай__Чай черный листовой
14,Чай зеленый листовой,15,2,Чай__Чай зеленый листовой
15,Чай ассорти листовой,16,2,Чай__Чай ассорти листовой
16,Чай в пакетиках для чайников,17,2,Чай__Чай в пакетиках для чайников
17,Элитная вода,18,3,"Вода, напитки, соки__Элитная вода"
18,Вода газированная,19,3,"Вода, напитки, соки__Вода газированная"
19,Вода негазированная,20,3,"Вода, напитки, соки__Вода негазированная"
20,Бутилированная вода,21,3,"Вода, напитки, соки__Бутилированная вода"
21,Соки и нектары,22,3,"Вода, напитки, соки__Соки и нектары"
22,"Вода сладкая газированная, квас",23,3,"Вода, напитки, соки__Вода сладкая газированная, квас"
23,Морсы,24,3,"Вода, напитки, соки__Морсы"
24,Холодный чай и кофейные напитки,25,3,"Вода, напитки, соки__Холодный чай и кофейные напитки"
25,Безалкогольное пиво и вино,26,3,"Вода, напитки, соки__Безалкогольное пиво и вино"
26,Паштеты,27,4,Консервация__Паштеты
27,Мясные консервы,28,4,Консервация__Мясные консервы
28,Рыбные консервы и икра,29,4,Консервация__Рыбные консервы и икра
29,Сиропы и топпинги,30,4,Консервация__Сиропы и топпинги
30,"Джемы, конфитюр, варенье, пасты",31,4,"Консервация__Джемы, конфитюр, варенье, пасты"
31,Мед,32,4,Консервация__Мед
32,Овощные и грибные консервы,33,4,Консервация__Овощные и грибные консервы
33,Фруктовые консервы,34,4,Консервация__Фруктовые консервы
34,Макаронные изделия,35,5,"Крупы, макароны, мука__Макаронные изделия"
35,Мука и смеси для выпечки,36,5,"Крупы, макароны, мука__Мука и смеси для выпечки"
36,Крупы и бобовые,37,5,"Крупы, макароны, мука__Крупы и бобовые"
37,Орехи,38,6,Орехи и сухофрукты__Орехи
38,Сухофрукты и коктейли,39,6,Орехи и сухофрукты__Сухофрукты и коктейли
39,Сыр,40,7,"Сыр, колбаса, рыба__Сыр"
40,Сырная тарелка,41,7,"Сыр, колбаса, рыба__Сырная тарелка"
41,Колбасные изделия,42,7,"Сыр, колбаса, рыба__Колбасные изделия"
42,Мясные деликатесы,43,7,"Сыр, колбаса, рыба__Мясные деликатесы"
43,"Сосиски, сардельки, колбаски",44,7,"Сыр, колбаса, рыба__Сосиски, сардельки, колбаски"
44,"Слабосоленая,соленая,копченая рыба",45,7,"Сыр, колбаса, рыба__Слабосоленая,соленая,копченая рыба"
45,Закуски из рыбы и морепродуктов,46,7,"Сыр, колбаса, рыба__Закуски из рыбы и морепродуктов"
46,Яйца,47,7,"Сыр, колбаса, рыба__Яйца"
47,Жевательные резинки,48,8,"Снеки, жевательная резинка__Жевательные резинки"
48,"Чипсы, сухарики, семечки",49,8,"Снеки, жевательная резинка__Чипсы, сухарики, семечки"
49,Рыбные снеки,50,8,"Снеки, жевательная резинка__Рыбные снеки"
50,Конфеты,51,9,Кондитерские изделия__Конфеты
51,"Шоколад порционный, плитки, батончики",52,9,"Кондитерские изделия__Шоколад порционный, плитки, батончики"
52,Вафли,53,9,Кондитерские изделия__Вафли
53,"Торты, пироги",54,9,"Кондитерские изделия__Торты, пироги"
54,Пирожные,55,9,Кондитерские изделия__Пирожные
