article,title
496218,Вода питьевая Новотерская газированная 0.5 л (6 штук в упаковке)
1217580,Вода минеральная San Benedetto газированная 0.33 л (24 штуки в упаковке)
960568,Вода минеральная Baikal Reserve газированная 0.53 л (20 штук в упаковке)
900348,Вода минеральная Donat Mg газированная 0.5 л (12 штук в упаковке)
900347,Вода минеральная Donat Mg газированная 1 л (6 штук в упаковке)
493895,Вода минеральная Perrier газированная 0.75 л (12 штук в упаковке)
1100156,Вода минеральная Ессентуки №17 газированная 0.45 л (20 штук в упаковке)
1063122,Вода минеральная Jevea газированная 0.5 л (12 штук в упаковке)
1337465,Напиток Боржоми Flavored Water газированный лайм-кориандр 0.33 л (12 штук в упаковке)
493884,Вода минеральная Акваника премиум газированная 0.618 л (12 штук в упаковке)
738210,Вода минеральная Новотерская газированная 1.5 л (6 штук в упаковке)
900870,Вода минеральная Сенежская+Кислород газированная 0.5 л (12 штук в упаковке)
1451067,Вода питьевая Волжанка газированная 0.33 л (24 штуки в упаковке)
998182,Вода питьевая BonAqua газированная 0.33 л (12 штук в упаковке)
1337467,Напиток Боржоми Flavored Water газированный цитрус-имбирь 0.33 л (12 штук в упаковке)
1337468,Напиток Боржоми Flavored Water газированный вишня-гранат 0.33 л (12 штук в упаковке)
493900,Вода питьевая Сенежская газированная 1.5 л (6 штук в упаковке)
1048945,Вода минеральная Боржоми газированная 1.25 л (6 штук в упаковке)
383751,Вода минеральная Эльбрус газированная 0.5 л (12 штук в упаковке)
1337466,Напиток Боржоми Flavored газированный земляника-артемизия 0.33 л (12 штук в упаковке)
868010,Напиток Perrier лимон газированный 0.5 л (24 штуки в упаковке)
984861,Вода минеральная Нарзан Золотой газированная 1 л (9 штук в упаковке)
493391,Вода минеральная Архыз газированная 1.5 л (6 штук в упаковке)
936331,Вода минеральная Калинов Родник газированная 0.5 л (12 штук в упаковке)
515723,Вода минеральная Нарзан Золотой газированная 0.33 л (24 штуки в упаковке)
1451035,Вода питьевая Деловой Стандарт газированная 0.5 л (12 штук в упаковке)
998820,Напиток Perrier газированный с соком персик-вишня 0.25 л (4 штуки в упаковке)
701504,Вода минеральная Ессентуки №4 газированная 1.5 л (6 штук в упаковке)
1337472,Вода минеральная Боржоми газированная 1 л (6 штук в упаковке)
1063124,Вода минеральная Славяновская газированная 1.5 л (6 штук в упаковке)
424434,Жевательная резинка Dirol Арбузная свежесть 13.6 г
1404879,Жевательная резинка Dirol арбузно-дынный коктейль (5 штук по 13.6 г)
1404892,Жевательная резинка Dirol морозная мята (5 штук по 13.6 г)
1435132,"Жевательная резинка Orbit Клубника-Банан,без сахара, 5штx13,6г/уп"
1435133,"Жевательная резинка Orbit White Нежная мята,без сахара, 5штx13,6г/уп"
1435134,"Жевательная резинка Orbit Сочный Арбуз, без сахара, 5штx13,6г/уп"
910632,Жевательная резинка Dirol Colors Xxl ассорти мятных вкусов (18 штук по 19 г)
1299312,Крабовые палочки Русское Море охлажденные 200 г
1299306,Сельдь атлантическая Исландка филе-кусочки в масле 115 г
512098,Пастила Нева с ароматом ванили 3 кг
561506,Печенье Бискотти Орешек 1.8 кг
1452570,Вафли Яшкино Южная страна 5 кг
1162693,Печенье сдобное Бискотти Клубничка 800 г
1007963,Зефир Санже со вкусом ванили 3 кг
1452548,Крекер Яшкино Галета 3.5 кг
1452571,Вафли Яшкино Сливочные 5 кг
1453269,Печенье сахарное Остров изобилия кольцо с корицей 3 кг
1453265,Печенье Кельнер Палочка с йогуртом 1.5 кг
897812,Печенье Ушки слоеные с сахаром и маком 3 кг
1452574,Печенье сахарное Яшкино К кофе со вкусом пломбира 4 кг
1162694,Печенье сдобное Бискотти Курабье 675 г
512100,Мармелад Нева Ассорти желейный 4 кг
488273,Вафли Акконд со сгущенным молоком 3.5 кг
488277,Вафли Брянконфи с топленым молоком 4 кг
416115,Печенье Бискотти с орехом 1.8 кг
512096,Мармелад Нева Трехслойный желейный 4 кг
512099,Мармелад Нева Ассорти желейный в шоколадной глазури 4 кг
512087,Зефир Нева Бело-розовый 3.5 кг
512097,Пастила Нева Бело-розовая 3 кг
488276,Вафли Брянконфи Сливочные 4 кг
512088,Зефир Нева со вкусом крем-брюле 3.5 кг
1453267,Печенье затяжное Кременкульское мини в шоколадной глазури 2.3 кг
1452550,Зефир Яшкино ванильный 1 кг
1452546,Печенье сдобное Грань Грановская кунжутка 1.8 кг
1453259,Печенье Ден-Трал Морозко 2.5 кг
1453272,Печенье сдобное Тульская Академия творожное с цукатами 3 кг
1453268,Печенье Ленинградское золото Лимонное к чаю 1.6 кг
1453274,Вафли Ларитель трубочки с кокосом в глазури 2.8 кг
1453263,Вафли Северная столица Сдобные 1.8 кг
1306854,Напиток сокосодержащий Любимый яблоко/гранат/черноплодная рябина 0.95 л
440372,Сок J7 грейпфрутовый с мякотью 0.97 л
1217344,Сок Добрый яблоко-виноград 1 л
937015,Сок Сады Придонья яблоко/персик с мякотью 1 л
1003821,Нектар Сады Придонья манговый с мякотью 1 л
440369,Нектар Фруктовый Сад яблоко/вишня/черноплодная рябина 0.95 л
1196618,Нектар Любимый яблоко/персик/нектарин 0.95 л
1306857,Напиток сокосодержащий Любимый Тропический микс 0.95 л
1196617,Нектар Любимый томат с морской солью 0.95 л
1236461,Нектар Pago ананас-лимон 0.2 л (24 штуки в упаковке)
1236458,Нектар Pago персик-лимон 0.2 л (24 штуки в упаковке)
1236457,Сок Pago томатный 0.2 л (24 штуки в упаковке)
634889,Сок Я томатный с солью 0.2 л (24 штуки в упаковке)
1204877,Сок ВкусВилл яблочный 3 л
1193959,Сок детский Агуша яблоко-груша 0.2 л (18 штук в упаковке)
1236460,Нектар Pago вишня/лимон/бузина/черная смородина 0.2 л (24 штуки в упаковке)
1425350,Сок Barinoff яблочный восстановленный осветленный 250 мл (12 штук в  упаковке)
1425348,Нектар Barinoff морковный с мякотью 1 л (6 штук в упаковке)
1218513,Сок Noyan гранатовый 0.2 л (27 штук в упаковке)
1003826,Сок IL Primo ананасовый 0.2 л (8 штук в упаковке)
1478816,Сок Barinoff Апельсиновый с мякотью 250 мл (12 штук в упаковке)
133589,Нектар Фруктовый Сад апельсиновый с мякотью 0.95 л
1287034,Сбитень ВкусВилл классический 0.25 л
1478817,Сок Barinoff Томатный с мякотью и солью 250 мл (12 штук в упаковке)
1425347,Нектар Barinoff тыквенный с мякотью 1 л (6 штук в упаковке)
1306853,Нектар Фруктовый Сад яблоко-виноград 1.93 л
1478818,Нектар Barinoff Вишневый 250 мл (12 штук в упаковке)
937018,Нектар Мой мультифруктовый 0.95 л
926659,Сок Добрый Pulpy апельсиновый с мякотью 0.45 л
1425346,Сок Barinoff гранатовый восстановленный с сахаром 1 л (6 штук в  упаковке)
1448879,Булгур Увелка 450 г
1430855,Булгур Ярмарка 250 г
1448869,Гречка Увелка готовая с грибами 250 г
1430853,Плов Готово! с грибами 250 г
1430850,Кускус Готово! с томатами 250 г
1177793,Фасоль Мистраль Маш зеленая 450 г
1448883,Гречка Увелка с грибами в соусе по-сибирски 260 г
1448872,Рис Увелка готовый по-средиземноморски 250 г
1448870,Чечевица Увелка готовая по-французски 250 г
1448880,Рис Увелка Девзира с зирой 405 г
1196756,Рис короткозерный Sen Soy Для суши 250 г
1448877,Маш Увелка 400 г
1193473,Рис Увелка круглозерный 800 г
1448878,Киноа Увелка белое 350 г
1448876,Гречка Увелка ядрица непропаренная 450 г
1448871,Булгур Увелка готовый с киноа 250 г
1192364,Винегрет Лукашинские Классический 420 г
1192385,Черемша Лукашинские по-кавказски 340 г
952915,Огурцы соленые Кубань продукт 680 г
1195267,Томаты Дядя Ваня в томатном соке 680 г
1192366,Лечо Лукашинские Классическое натуральное 450 г
1260147,Кукуруза LUTIK  отбороная 425мл (340г)
969576,Морская капуста Доброфлот 220 г
1192365,Икра кабачковая Лукашинские Домашняя 340 г
1178630,Икра из баклажанов Пиканта 520 г
1499489,Огурцы Ecofood маринованные 680 г
955018,Зелёный горошек Бондюэль консервированный 800 г
955023,Корнишоны Бондюэль маринованные 540 г
1195258,Огурцы и томаты черри Дядя Ваня Ассорти маринованные 680 г
1192380,Фасоль Лукашинские печеная по-деревенски с лесными грибами 450 г
1195265,Лечо Дядя Ваня Закарпатское 680 г
1499488,Томаты Ecofood вяленые 190 г
1501072,Огурчики Лукашинские маринованные по-домашнему со сладким перцем 670 г
1192381,Фасоль Лукашинские печеная по-домашнему в томатном соусе 450 г
1192377,Томаты Лукашинские по-домашнему со сладким перцем 670 г
774767,Огурцы маринованные Дядя Ваня по-берлински 680 г
955024,Огурцы Бондюэль маринованные 680 г
1193431,Икра Дядя Ваня из обжаренных кабачков 460 г
1508470,Грузди Скатерть-Самобранка маринованные 580 г
774766,Томаты в собственном соку Дядя Ваня 680 г
1178631,Икра из кабачков Пиканта 520 г
1501074,Салат Лукашинские Осенний из сладкого перца 430 г
1192360,Салат Лукашинские Летний из молодых кабачков 430 г
1178629,Баклажаны Пиканта печеные в томатном соусе 520 г
1195268,Томаты Дядя Ваня маринованные 680 г
1307796,Паштет Perva Extra с белым нутом 100 г
859090,Коктейль Амира ассорти 350 г
1408492,Дыня Filipino Sun мускусная 100 г
1488370,Изюм Nuts Planet Голден 300 г
1535654,Абрикосы Семушка 500 г
1535664,Коктейль Семушка смесь орехов с клюквой 500 г
1535663,Сливы Семушка черные 500 г
1535656,Банановые чипсы Семушка 400 г
1535657,Бананы Семушка кружочки 400 г
1535655,Ананасы Семушка кусочки 300 г
1535661,Манго Семушка ломтики 300 г
859865,Коктейль Амира 350 г
1283268,Чай Althaus Assam Meleng черный 250 г
891514,Чай Newby Black Tea&Thyme черный с чабрецом 100 г
1383352,Чай Greenfield Kenyan Sunrise черный 200 г
1221752,"Чай Tess Pleasure черный с шиповником, яблоком и цветочными лепестками 400 г"
464234,Чай Shennun Дянь Хун черный 100 г
1221741,Чай Tess Orange черный с апельсином и яблоком 100 г
997532,Чай Азерчай Букет черный 100 г
997538,Чай Азерчай черный с бергамотом 100 г
831368,Чай Dammann The Breakfast черный 100 г
1362595,Чай Dilmah Цейлонский черный 250 г
911009,Чай Niktea Earl Grey Special черный с бергамотом 250 г
1221750,Чай Tess Pleasure черный с шиповником и яблоками 200 г
1423059,"Чай Richard Royal Love черный цедра апельсина, бергамот и ваниль 80 г"
1221751,Чай Tess Earl Grey черный лайм/апельсин/бергамот 200 г
1176250,Чай Азерчай Premium Collection черный с бергамотом 100 г
1221743,Чай Tess Goldberry черный с айвой и облепихой 100 г
1383354,Чай Greenfield Magic Yunnan черный 100 г
1221739,"Чай Tess Pleasure черный с шиповником, яблоком и цветочными лепестками 100 г"
1221740,"Чай Tess Earl Grey черный с лаймом, апельсином и бергамотом 100 г"
1381364,Чай Maitre Louis D'or черный 150 г
1245680,Чай Азерчай Ленкорань черный 400 г
771108,Чай Ahmad Tea Ceylon черный 100 г
973083,Чай Акбар Gold черный 250 г
1445522,Чай Kioko Halmari Assam черный 100 г
